Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Male
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Prostate","Age 65","Age <br/>85",8.800
"Prostate","Age 65","Age <br/>90",9.488
"Prostate","Age 65","Age <br/>95",9.795
"Prostate","Age 65","Age <br/>95+",9.927
"Prostate","Age 70","Age <br/>5",
"Prostate","Age 70","Age <br/>10",
"Prostate","Age 70","Age <br/>15",
"Prostate","Age 70","Age <br/>20",
"Prostate","Age 70","Age <br/>25",
"Prostate","Age 70","Age <br/>30",
"Prostate","Age 70","Age <br/>35",
"Prostate","Age 70","Age <br/>40",
"Prostate","Age 70","Age <br/>45",
"Prostate","Age 70","Age <br/>50",
"Prostate","Age 70","Age <br/>55",
"Prostate","Age 70","Age <br/>60",
"Prostate","Age 70","Age <br/>65",
"Prostate","Age 70","Age <br/>70",
"Prostate","Age 70","Age <br/>75",3.030
"Prostate","Age 70","Age <br/>80",5.296
"Prostate","Age 70","Age <br/>85",6.671
"Prostate","Age 70","Age <br/>90",7.444
"Prostate","Age 70","Age <br/>95",7.790
"Prostate","Age 70","Age <br/>95+",7.938
"Prostate","Age 75","Age <br/>5",
"Prostate","Age 75","Age <br/>10",
"Prostate","Age 75","Age <br/>15",
"Prostate","Age 75","Age <br/>20",
"Prostate","Age 75","Age <br/>25",
"Prostate","Age 75","Age <br/>30",
"Prostate","Age 75","Age <br/>35",
"Prostate","Age 75","Age <br/>40",
"Prostate","Age 75","Age <br/>45",
"Prostate","Age 75","Age <br/>50",
"Prostate","Age 75","Age <br/>55",
"Prostate","Age 75","Age <br/>60",
"Prostate","Age 75","Age <br/>65",
"Prostate","Age 75","Age <br/>70",
"Prostate","Age 75","Age <br/>75",
"Prostate","Age 75","Age <br/>80",2.666
"Prostate","Age 75","Age <br/>85",4.284
"Prostate","Age 75","Age <br/>90",5.193
"Prostate","Age 75","Age <br/>95",5.600
"Prostate","Age 75","Age <br/>95+",5.774
"Prostate","Age 80","Age <br/>5",
"Prostate","Age 80","Age <br/>10",
"Prostate","Age 80","Age <br/>15",
"Prostate","Age 80","Age <br/>20",
"Prostate","Age 80","Age <br/>25",
"Prostate","Age 80","Age <br/>30",
"Prostate","Age 80","Age <br/>35",
"Prostate","Age 80","Age <br/>40",
"Prostate","Age 80","Age <br/>45",
"Prostate","Age 80","Age <br/>50",
"Prostate","Age 80","Age <br/>55",
"Prostate","Age 80","Age <br/>60",
"Prostate","Age 80","Age <br/>65",
"Prostate","Age 80","Age <br/>70",
"Prostate","Age 80","Age <br/>75",
"Prostate","Age 80","Age <br/>80",
"Prostate","Age 80","Age <br/>85",2.046
"Prostate","Age 80","Age <br/>90",3.196
"Prostate","Age 80","Age <br/>95",3.710
"Prostate","Age 80","Age <br/>95+",3.930
"Prostate","Age 85","Age <br/>5",
"Prostate","Age 85","Age <br/>10",
"Prostate","Age 85","Age <br/>15",
"Prostate","Age 85","Age <br/>20",
"Prostate","Age 85","Age <br/>25",
"Prostate","Age 85","Age <br/>30",
"Prostate","Age 85","Age <br/>35",
"Prostate","Age 85","Age <br/>40",
"Prostate","Age 85","Age <br/>45",
"Prostate","Age 85","Age <br/>50",
"Prostate","Age 85","Age <br/>55",
"Prostate","Age 85","Age <br/>60",
"Prostate","Age 85","Age <br/>65",
"Prostate","Age 85","Age <br/>70",
"Prostate","Age 85","Age <br/>75",
"Prostate","Age 85","Age <br/>80",
"Prostate","Age 85","Age <br/>85",
"Prostate","Age 85","Age <br/>90",1.657
"Prostate","Age 85","Age <br/>95",2.398
"Prostate","Age 85","Age <br/>95+",2.716
"Prostate","Age 90","Age <br/>5",
"Prostate","Age 90","Age <br/>10",
"Prostate","Age 90","Age <br/>15",
"Prostate","Age 90","Age <br/>20",
"Prostate","Age 90","Age <br/>25",
"Prostate","Age 90","Age <br/>30",
"Prostate","Age 90","Age <br/>35",
"Prostate","Age 90","Age <br/>40",
"Prostate","Age 90","Age <br/>45",
"Prostate","Age 90","Age <br/>50",
"Prostate","Age 90","Age <br/>55",
"Prostate","Age 90","Age <br/>60",
"Prostate","Age 90","Age <br/>65",
"Prostate","Age 90","Age <br/>70",
"Prostate","Age 90","Age <br/>75",
"Prostate","Age 90","Age <br/>80",
"Prostate","Age 90","Age <br/>85",
"Prostate","Age 90","Age <br/>90",
"Prostate","Age 90","Age <br/>95",1.337
"Prostate","Age 90","Age <br/>95+",1.910
"Prostate","Age 95","Age <br/>5",
"Prostate","Age 95","Age <br/>10",
"Prostate","Age 95","Age <br/>15",
"Prostate","Age 95","Age <br/>20",
"Prostate","Age 95","Age <br/>25",
"Prostate","Age 95","Age <br/>30",
"Prostate","Age 95","Age <br/>35",
"Prostate","Age 95","Age <br/>40",
"Prostate","Age 95","Age <br/>45",
"Prostate","Age 95","Age <br/>50",
"Prostate","Age 95","Age <br/>55",
"Prostate","Age 95","Age <br/>60",
"Prostate","Age 95","Age <br/>65",
"Prostate","Age 95","Age <br/>70",
"Prostate","Age 95","Age <br/>75",
"Prostate","Age 95","Age <br/>80",
"Prostate","Age 95","Age <br/>85",
"Prostate","Age 95","Age <br/>90",
"Prostate","Age 95","Age <br/>95",
"Prostate","Age 95","Age <br/>95+",1.441
"Testis","Age 0","Age <br/>5",0.002
"Testis","Age 0","Age <br/>10",0.003
"Testis","Age 0","Age <br/>15",0.006
"Testis","Age 0","Age <br/>20",0.027
"Testis","Age 0","Age <br/>25",0.076
"Testis","Age 0","Age <br/>30",0.146
"Testis","Age 0","Age <br/>35",0.214
"Testis","Age 0","Age <br/>40",0.270
"Testis","Age 0","Age <br/>45",0.309
"Testis","Age 0","Age <br/>50",0.339
"Testis","Age 0","Age <br/>55",0.359
"Testis","Age 0","Age <br/>60",0.373
"Testis","Age 0","Age <br/>65",0.383
"Testis","Age 0","Age <br/>70",0.390
"Testis","Age 0","Age <br/>75",0.394
"Testis","Age 0","Age <br/>80",0.396
"Testis","Age 0","Age <br/>85",0.398
"Testis","Age 0","Age <br/>90",0.399
"Testis","Age 0","Age <br/>95",0.400
"Testis","Age 0","Age <br/>95+",0.400
"Testis","Age 5","Age <br/>5",
"Testis","Age 5","Age <br/>10",0.001
"Testis","Age 5","Age <br/>15",0.004
"Testis","Age 5","Age <br/>20",0.025
"Testis","Age 5","Age <br/>25",0.075
"Testis","Age 5","Age <br/>30",0.145
"Testis","Age 5","Age <br/>35",0.214
"Testis","Age 5","Age <br/>40",0.271
"Testis","Age 5","Age <br/>45",0.310
